,Name,Name_tag,ID,Position
112,Gelson Martins,gelson-martins,257448,Right Winger
113,Adama Traoré,adama-traore,204103,Right Winger
114,Matteo Politano,matteo-politano,165895,Right Winger
115,Yannick Carrasco,yannick-carrasco,140776,Left Winger
116,Ismaïla Sarr,ismaila-sarr,410225,Right Winger
117,Ansu Fati,ansu-fati,466810,Left Winger
118,Dejan Kulusevski,dejan-kulusevski,431755,Right Winger
119,Justin Kluivert,justin-kluivert,330659,Left Winger
120,Harry Wilson,harry-wilson,279455,Right Winger
121,Allan Saint-Maximin,allan-saint-maximin,272642,Left Winger
122,Keita Baldé,keita-balde,238752,Left Winger
123,Wout Weghorst,wout-weghorst,228645,Centre-Forward
124,Lucas Vázquez,lucas-vazquez,221316,Right Winger
125,Shoya Nakajima,shoya-nakajima,188911,Left Winger
126,Rony Lopes,rony-lopes,174694,Right Winger
127,Gerard Deulofeu,gerard-deulofeu,129476,Right Winger
128,Emil Forsberg,emil-forsberg,111078,Left Winger
129,Stephan El Shaarawy,stephan-el-shaarawy,94529,Left Winger
130,Iago Aspas,iago-aspas,72047,Centre-Forward
131,Dries Mertens,dries-mertens,56416,Centre-Forward
132,Aleksandar Mitrovic,aleksandar-mitrovic,51152,Centre-Forward
133,Diego Costa,diego-costa,44779,Centre-Forward
134,Alexis Sánchez,alexis-sanchez,40433,Left Winger
135,Dusan Tadic,dusan-tadic,36139,Left Winger
136,Domenico Berardi,domenico-berardi,177843,Right Winger
137,Ivan Perisic,ivan-perisic,42460,Left Winger
138,Gabriel Barbosa,gabriel-barbosa,244275,Centre-Forward
139,Jean-Philippe Mateta,jean-philippe-mateta,420002,Centre-Forward
140,Rafael Leão,rafael-leao,357164,Centre-Forward
141,Christian Kouamé,christian-kouame,337725,Centre-Forward
142,Dominic Calvert-Lewin,dominic-calvert-lewin,306024,Centre-Forward
143,Neal Maupay,neal-maupay,217115,Centre-Forward
144,André Silva,andre-silva,198008,Centre-Forward
145,Michy Batshuayi,michy-batshuayi,179184,Centre-Forward
146,Jesús Corona,jesus-corona,125165,Right Winger
147,Erik Lamela,erik-lamela,111630,Right Winger
148,Xherdan Shaqiri,xherdan-shaqiri,86792,Right Winger
149,Mario Götze,mario-gotze,74842,Centre-Forward
150,Yacine Brahimi,yacine-brahimi,60517,Left Winger
151,João Pedro,joao-pedro,626724,Centre-Forward
152,Antony,antony,602105,Right Winger
153,Dwight McNeil,dwight-mcneil,584769,Left Winger
154,Mason Greenwood,mason-greenwood,532826,Centre-Forward
155,Ademola Lookman,ademola-lookman,406040,Left Winger
156,Ferran Torres,ferran-torres,398184,Right Winger
157,Riccardo Orsolini,riccardo-orsolini,368482,Right Winger
158,Brais Méndez,brais-mendez,309110,Right Winger
